,title,link,price
0,Ветровка-пиджак,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/odezhda_obuv_aksessuary/vetrovka-pidzhak_1958902432,700
1,Камаз 55111,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/gruzoviki_i_spetstehnika/kamaz_55111_2053396257,250000
2,Комбинезон детский зимний,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/detskaya_odezhda_i_obuv/kombinezon_detskiy_zimniy_1968187491,1100
3,Платье новое,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/odezhda_obuv_aksessuary/plate_novoe_1002807416,850
4,"2-к квартира, 40 м², 1/1 эт.",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/kvartiry/2-k_kvartira_40_m_11_et._2072947967,1300000
5,Дом 100 м² на участке 5 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/dom_100_m_na_uchastke_5_sot._2027384986,2700000
6,Зимняя куртка для мальчика,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/odezhda_obuv_aksessuary/zimnyaya_kurtka_dlya_malchika_1804897458,1400
7,Водитель,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/vakansii/voditel_819712556,Не указано
8,Ананас,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/predlozheniya_uslug/ananas_1227300532,750
9,"2-к квартира, 47 м², 3/4 эт.",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/kvartiry/2-k_kvartira_47_m_34_et._2049603171,2350000
10,Продавец продовольственных товаров,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/vakansii/prodavets_prodovolstvennyh_tovarov_789987569,25000
11,Ковры,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/mebel_i_interer/kovry_1958406060,12000
12,"KIA Rio, 2015",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/kia_rio_2015_1991697622,460000
13,Телевизор sharp,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/audio_i_video/televizor_sharp_1537112844,999
14,Дом 104.8 м² на участке 6 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/dom_104.8_m_na_uchastke_6_sot._2048954399,2650000
15,"Собака,алобай, средне азиатская овчарка",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/sobaki/sobakaalobay_sredne_aziatskaya_ovcharka_2069817536,10000
16,Участок 27 сот. (ИЖС),https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_27_sot._izhs_1896308835,4050000
17,Дом 85 м² на участке 5.4 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/dom_85_m_na_uchastke_5.4_sot._2069418221,5000000
18,Дом 110 м² на участке 5 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/dom_110_m_na_uchastke_5_sot._2048568347,3300000
19,Игровой ноутбук dell alienware 17,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/noutbuki/igrovoy_noutbuk_dell_alienware_17_2057584529,85000
20,Швейная машина Brother,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/bytovaya_tehnika/shveynaya_mashina_brother_2028972818,8000
21,"KIA Rio, 2017",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/kia_rio_2017_2066867219,680000
22,Резина 16R Hankook,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zapchasti_i_aksessuary/rezina_16r_hankook_2037208849,8999
23,Нокиан,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zapchasti_i_aksessuary/nokian_2073581345,4000
24,Коттедж 82 м² на участке 3 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/kottedzh_82_m_na_uchastke_3_sot._2069544890,3400000
25,"1-к квартира, 26 м², 3/6 эт.",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/kvartiry/1-k_kvartira_26_m_36_et._2073115292,1550000
26,Дом 100 м² на участке 5 сот.,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/doma_dachi_kottedzhi/dom_100_m_na_uchastke_5_sot._1984183119,3300000
27,Скутер,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/mototsikly_i_mototehnika/skuter_1963584093,26000
28,"BMW X5, 2011",https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/bmw_x5_2011_1933296765,1200000
29,Мужская куртка,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/odezhda_obuv_aksessuary/muzhskaya_kurtka_2070264332,3500
